flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code
137.184.219.126_211.65.229.214_40530_49506_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,49506,0.0,0,0
211.65.233.81_79.124.49.194_1120_43986_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,43986,0.0,0,0
211.65.211.87_91.227.114.150_8940_40403_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40403,0.0,0,0
172.236.2.133_211.65.219.200_45455_8148_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,8148,0.0,0,0
211.65.212.115_45.205.1.8_5555_42140_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,42140,0.0,0,0
165.227.89.109_211.65.207.201_46092_52685_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,52685,0.0,0,0
211.65.221.104_95.85.244.136_1803_40609_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40609,0.0,0,0
211.65.213.160_91.227.114.150_17944_40403_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40403,0.0,0,0
199.45.154.177_211.65.210.219_39229_808_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,78,0.001,78.0,0.0,1000.0,78000.0,1.0,0.0,808,0.0,0,0
211.65.227.191_91.227.114.150_3344_40419_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40419,0.0,0,0
123.160.221.172_211.65.204.89_51407_10434_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,10434,0.0,0,0
103.234.62.47_211.65.240.69_52061_80_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,80,0.0,0,0
165.227.89.109_211.65.248.185_46092_52685_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,52685,0.0,0,0
195.178.110.4_211.65.219.188_58669_22000_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,22000,0.0,0,0
211.65.245.252_45.142.193.21_1366_42665_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,42665,0.0,0,0
211.65.254.136_213.209.159.243_48511_57973_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,57973,0.0,0,0
