flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code,anomaly,is_attack
211.65.199.245_31.14.254.55_60610_27271_tcp,train,attack,tcp,2,128,0.010952,64.0,0.0,182.61504747991236,11687.36303871439,1.0,0.0,27271,0.0,0,0,-1,True
211.65.209.12_69.5.169.39_20547_54846_tcp,train,attack,tcp,2,128,0.001757,64.0,0.0,1138.3039271485486,72851.45133750711,1.0,0.0,54846,0.0,0,0,-1,True
198.163.192.180_211.65.229.223_41259_2323_tcp,train,attack,tcp,2,156,1.000439,78.0,0.0,1.999122385272865,155.93154605128348,1.0,0.0,2323,0.0,0,0,-1,True
14.218.69.95_211.65.213.243_5657_2087_tcp,train,attack,tcp,3,210,3.162994,70.0,0.0,0.9484684447709988,66.39279113396991,1.0,0.0,2087,0.0,0,0,-1,True
194.88.98.112_211.65.252.247_44254_51083_tcp,train,attack,tcp,2,128,0.001853,64.0,0.0,1079.3308148947651,69077.17215326497,1.0,0.0,51083,0.0,0,0,-1,True
139.162.119.146_211.65.199.78_51916_5672_tcp,train,attack,tcp,2,156,1.011681,78.0,0.0,1.976907740681104,154.19880377312612,1.0,0.0,5672,0.0,0,0,-1,True
139.162.119.146_211.65.199.78_60388_3089_tcp,train,attack,tcp,2,156,1.010973,78.0,0.0,1.9782921996927716,154.30679157603618,1.0,0.0,3089,0.0,0,0,-1,True
139.162.119.146_211.65.199.78_33818_444_tcp,train,attack,tcp,2,156,1.012691,78.0,0.0,1.9749360861309129,154.04501471821118,1.0,0.0,444,0.0,0,0,-1,True
139.162.119.146_211.65.199.78_51280_6600_tcp,train,attack,tcp,2,156,1.012466,78.0,0.0,1.9753749755547343,154.07924809326929,1.0,0.0,6600,0.0,0,0,-1,True
206.119.160.191_211.65.216.11_32236_443_tcp,train,attack,tcp,1,98,0.001,98.0,0.0,1000.0,98000.0,1.0,0.0,443,0.0,0,0,-1,True
211.65.243.189_69.5.169.76_6040_50058_tcp,train,attack,tcp,2,128,0.001341,64.0,0.0,1491.4243102162566,95451.15585384042,1.0,0.0,50058,0.0,0,0,-1,True
211.65.232.141_69.5.169.156_34153_32399_tcp,train,attack,tcp,2,128,0.001407,64.0,0.0,1421.4641080312722,90973.70291400142,1.0,0.0,32399,0.0,0,0,-1,True
211.65.251.24_31.14.254.121_49419_54540_tcp,train,attack,tcp,2,128,0.003543,64.0,0.0,564.4933672029354,36127.57550098786,1.0,0.0,54540,0.0,0,0,-1,True
185.223.235.45_211.65.193.145_35541_4001_tcp,train,attack,tcp,2,128,0.001202,64.0,0.0,1663.893510815308,106489.18469217973,1.0,0.0,4001,0.0,0,0,-1,True
172.232.232.179_211.65.244.23_49022_8406_tcp,train,attack,tcp,2,156,1.031904,78.0,0.0,1.9381647905231496,151.17685366080568,1.0,0.0,8406,0.0,0,0,-1,True
172.232.232.179_211.65.244.23_42956_10250_tcp,train,attack,tcp,2,156,1.005422,78.0,0.0,1.9892144790943505,155.15872936935932,1.0,0.0,10250,0.0,0,0,-1,True
185.223.235.17_211.65.224.42_39087_1024_tcp,train,attack,tcp,2,128,0.012113,64.0,0.0,165.1118632873772,10567.15925039214,1.0,0.0,1024,0.0,0,0,-1,True
172.232.232.179_211.65.244.23_54866_1901_tcp,train,attack,tcp,2,156,1.02454,78.0,0.0,1.9520955745993325,152.26345481874793,1.0,0.0,1901,0.0,0,0,-1,True
115.186.50.41_211.65.198.116_30161_2323_tcp,train,attack,tcp,2,156,1.001909,78.0,0.0,1.996189274674646,155.70276342462242,1.0,0.0,2323,0.0,0,0,-1,True
211.65.249.120_64.31.8.14_23_19553_tcp,train,attack,tcp,58,3712,386.194984,64.0,0.0,0.1501832038294935,9.611725045087589,1.0,0.0,19553,0.0,0,0,-1,True
208.115.218.22_211.65.251.174_53141_23_tcp,train,attack,tcp,554,35456,388.597285,64.0,0.0,1.4256404287538962,91.24098744024936,1.0,0.0,23,0.0,0,0,-1,True
146.19.173.46_211.65.221.55_35901_23_tcp,train,attack,tcp,22,1408,279.548135,64.0,0.0,0.0786984323826735,5.036699672491108,1.0,0.0,23,0.0,0,0,-1,True
109.122.9.218_211.65.244.45_28233_23_tcp,train,attack,tcp,10,640,177.658313,64.0,0.0,0.056287824820221,3.6024207884941477,1.0,0.0,23,0.0,0,0,-1,True
211.65.247.204_67.220.180.114_23_10626_tcp,train,attack,tcp,112,7168,383.527282,64.0,0.0,0.2920261615182828,18.6896743371701,1.0,0.0,10626,0.0,0,0,-1,True
211.65.209.141_45.129.84.141_23_49297_tcp,train,attack,tcp,4,256,139.101395,64.0,0.0,0.0287560020515969,1.8403841313022056,1.0,0.0,49297,0.0,0,0,-1,True
192.227.67.225_211.65.245.164_51403_23_tcp,train,attack,tcp,92,5888,386.227176,64.0,0.0,0.2382017779090718,15.244913786180598,1.0,0.0,23,0.0,0,0,-1,True
109.122.9.218_211.65.193.45_28233_23_tcp,train,attack,tcp,87,5568,381.496138,64.0,0.0,0.2280494907657492,14.595167409007953,1.0,0.0,23,0.0,0,0,-1,True
103.56.162.106_211.65.232.246_3528_23_tcp,train,attack,tcp,114,7296,385.622076,64.0,0.0,0.2956262286187163,18.92007863159785,1.0,0.0,23,0.0,0,0,-1,True
199.195.116.188_211.65.232.216_24012_23_tcp,train,attack,tcp,92,5888,386.687758,64.0,0.0,0.2379180568731633,15.226755639882452,1.0,0.0,23,0.0,0,0,-1,True
211.65.192.49_64.20.47.138_23_60544_tcp,train,attack,tcp,392,25088,385.621973,64.0,0.0,1.0165395839619336,65.05853337356375,1.0,0.0,60544,0.0,0,0,-1,True
211.65.230.74_217.148.142.94_23_15615_tcp,train,attack,tcp,34,2176,387.437455,64.0,0.0,0.0877560998845607,5.616390392611886,1.0,0.0,15615,0.0,0,0,-1,True
107.182.234.154_211.65.214.154_32150_23_tcp,train,attack,tcp,34,2176,387.550053,64.0,0.0,0.0877306034067295,5.614758618030688,1.0,0.0,23,0.0,0,0,-1,True
211.65.216.157_80.251.153.178_23_33211_tcp,train,attack,tcp,444,28416,388.497335,64.0,0.0,1.1428649825873325,73.14335888558927,1.0,0.0,33211,0.0,0,0,-1,True
103.76.165.186_211.65.222.201_53613_23_tcp,train,attack,tcp,167,10688,388.488587,64.0,0.0,0.4298710582197875,27.511747726066403,1.0,0.0,23,0.0,0,0,-1,True
